timestamp,V1,V2,V3,amount
datetime,float,float,float,float
T,
2017-08-25 13:07:39,-1.359807134,-0.072781173,2.536346738,149.62
2017-08-25 13:07:39,1.191857111,0.266150712,0.166480113,2.69
2017-08-25 13:08:41,-1.358354062,-1.340163075,1.773209343,378.66
2017-08-25 13:08:41,-0.966271712,-0.185226008,1.79299334,123.5
2017-08-25 13:09:43,-1.158233093,0.877736755,1.548717847,69.99
2017-08-25 13:09:43,-0.425965884,0.960523045,1.141109342,3.67
2017-08-25 13:11:47,1.229657635,0.141003507,0.045370774,4.99
2017-08-25 13:14:53,-0.644269442,1.417963545,1.074380376,40.8
2017-08-25 13:14:53,-0.894286082,0.286157196,-0.113192213,93.2
2017-08-25 13:16:57,-0.338261752,1.119593376,1.044366552,3.68
2017-08-25 13:17:59,1.449043781,-1.176338825,0.913859833,7.8
2017-08-25 13:17:59,0.384978215,0.616109459,-0.874299703,9.99
2017-08-25 13:17:59,1.249998742,-1.221636809,0.383930151,121.5
2017-08-25 13:19:01,1.069373588,0.287722129,0.828612727,27.5
2017-08-25 13:20:03,-2.791854766,-0.327770757,1.641750161,58.8
2017-08-25 13:20:03,-0.752417043,0.345485415,2.057322913,15.99
2017-08-25 13:20:03,1.103215435,-0.040296215,1.267332089,12.99
2017-08-25 13:21:05,-0.436905071,0.918966213,0.924590774,0.89
2017-08-25 13:22:07,-5.401257663,-5.450147834,1.186304631,46.8
2017-08-25 13:23:09,1.492935977,-1.029345732,0.454794734,5
2017-08-25 13:24:11,0.694884776,-1.361819103,1.02922104,231.71
2017-08-25 13:25:13,0.96249607,0.328461026,-0.171479054,34.09
2017-08-25 13:26:15,1.166616382,0.502120088,-0.067300314,2.28
2017-08-25 13:26:15,0.247491128,0.277665627,1.185470842,22.75
2017-08-25 13:30:23,-1.946525131,-0.044900505,-0.405570068,0.89
2017-08-25 13:30:23,-2.074294672,-0.121481799,1.32202063,26.43
2017-08-25 13:31:25,1.17328461,0.353497877,0.283905065,41.88
2017-08-25 13:31:25,1.322707269,-0.174040833,0.434555031,16
2017-08-25 13:31:25,-0.41428881,0.905437323,1.727452944,33
2017-08-25 13:31:25,1.059387115,-0.175319187,1.266129643,12.99
2017-08-25 13:32:27,1.23742903,0.061042584,0.38052588,17.28
2017-08-25 13:33:29,1.114008595,0.08554609,0.493702487,4.45
2017-08-25 13:34:31,-0.529912284,0.873891581,1.347247329,6.14
2017-08-25 13:34:31,-0.529912284,0.873891581,1.347247329,6.14
2017-08-25 13:34:31,-0.535387763,0.865267808,1.351076288,1.77
2017-08-25 13:34:31,-0.535387763,0.865267808,1.351076288,1.77
